State,Confirmed,Recovered,Deaths,Active
Andaman and Nicobar Islands,33,16,0,3456
Andhra Pradesh,1525,441,33,5852
Arunachal Pradesh,1,1,0,552
Assam,43,32,1,282
Bihar,471,98,3,99
Chandigarh,88,17,0,69
Chhattisgarh,43,36,0,55
Delhi,3738,1167,61,212
Goa,7,7,0,252
Gujarat,4721,735,236,52
Haryana,360,227,4,259
Himachal Pradesh,40,30,1,3456
Jammu and Kashmir,639,247,8,5852
Jharkhand,111,20,3,552
Karnataka,598,255,25,282
Kerala,498,392,4,99
Ladakh,22,17,0,69
Madhya Pradesh,2719,524,145,55
Maharashtra,11506,1879,485,212
Manipur,2,2,0,252
Meghalaya,12,0,1,52
Mizoram,1,0,0,3456
Odisha,154,55,1,5852
Puducherry,8,5,0,552
Punjab,772,112,20,282
Rajasthan,2666,1116,62,99
Tamil Nadu,2526,1312,28,69
Telengana,1057,441,26,55
Tripura,2,2,0,212
Uttarakhand,58,37,0,252
Uttar Pradesh,2455,656,43,52
West Bengal,795,139,33,259
